humidity,temperature,pressure,CO2,TVOC,DUV,Color temperature,LUX,Motion,O2,O2voltage,PM2.5,PM10,Datetime
61.45148169047555,14.219103412725962,991.1877007734787,-1,-1,0.053524479269981384,34021.51983545967,199.90474,True,19.731545306988227,1.359464988198269,0.0,0.0,12.05.2019. 18:17:14
61.46230195114642,14.224114080757136,991.1684718627453,400,0,0.0540594756603241,35028.46188980887,207.78904,False,19.729725587655402,1.359345397324941,2.8,12.1,12.05.2019. 18:17:34
61.5000304782254,14.239146086596884,991.1107827113146,400,0,0.0553521066904068,37386.52972954839,218.3216,True,19.72646924779666,1.3591313926042485,2.7,12.5,12.05.2019. 18:17:54
61.464026762604725,14.254178095055977,991.2169236851915,405,0,0.05018016695976257,26467.26223474986,235.14434,False,19.726708684550978,1.359147128245476,2.8,11.9,15.05.2019. 19:52:17
61.47130581911885,14.289252791646868,991.2188377676098,422,3,0.010320723056793213,3798.3076777950905,685.58266,False,19.72397910555174,1.3589677419354838,2.8,8.9,15.05.2019. 19:52:37
61.39401586365307,14.319316828646697,991.185363641948,459,8,0.010515958070755005,3760.089900415326,768.15726,False,19.719477694570543,1.3586719118804091,2.7,5.7,15.05.2019. 19:52:57
61.34803590145255,14.344370200816774,991.2257374818906,497,14,0.010602205991744995,3747.307635409209,857.28596,False,19.717897411992034,1.3585680566483083,2.9,6.1,15.05.2019. 19:53:18
61.2865293994614,14.374434257025133,991.3014982581464,540,21,0.010571062564849854,3745.834477021028,931.99698,False,19.718041074044624,1.3585774980330447,2.9,10.1,15.05.2019. 19:53:38
61.1928307287725,14.394476966984803,991.2518636905335,581,27,0.010672584176063538,3728.2256832321273,993.60046,False,19.71646079146612,1.358473642800944,3.0,10.9,15.05.2019. 19:53:58
61.162918738958524,14.424541040655459,991.272999298974,614,32,0.010713651776313782,3725.9532042660085,1044.7185,False,19.71851994755326,1.3586089693154995,3.1,11.1,15.05.2019. 19:54:18
61.0647769843073,14.459615806513465,991.3295229262985,649,37,0.010781422257423401,3710.8694421639284,1089.28268,False,19.72086642774559,1.3587631785995278,3.2,14.1,15.05.2019. 19:54:38
61.11889025090111,14.484669219428906,991.3152658871517,682,42,0.010848551988601685,3702.402634510884,1123.36122,False,19.716987552325623,1.3585082612116444,3.2,9.9,15.05.2019. 19:54:58
61.07898828329333,14.524754695227603,991.3252283192746,715,47,0.01087130606174469,3700.0654783660807,1154.81846,False,19.715072058291064,1.3583823760818252,2.8,9.1,15.05.2019. 19:55:18
60.99022984611623,14.539786753454246,991.3494517560449,742,52,0.010869517922401428,3699.434035250686,1179.72212,False,19.715311495045384,1.3583981117230526,3.1,7.7,15.05.2019. 19:55:38
60.917837550974944,14.56484018965275,991.3625051987295,757,54,0.010882839560508728,3699.1720793439376,1198.0722,False,19.71751431318512,1.3585428796223444,3.2,7.3,15.05.2019. 19:55:58
60.887609227877945,14.589893633127213,991.3755571936913,783,58,0.010865122079849243,3700.58260033647,1215.11158,False,19.717035439676483,1.3585114083398897,3.2,7.5,15.05.2019. 19:56:18
60.799941087794274,14.62496846621507,991.4320787823038,821,64,0.010886535048484802,3697.6391597225675,1234.77232,False,19.716556566167846,1.358479937057435,3.1,8.6,15.05.2019. 19:56:38
60.74361465299158,14.655032620212296,991.3985561496321,840,67,0.01084582507610321,3703.0401875278476,1245.2582,False,19.718615722254988,1.3586152635719904,3.2,8.2,15.05.2019. 19:56:58
