pressure,temperature,humidity,TVOC,CO2,DUV,LUX,Color temperature,Motion,O2voltage,O2,PM2.5,PM10,Datetime
989.9806114268894,18.393090735614532,52.72818203009505,-1,-1,-1,-1,-1,True,0.0,0.0008025674744965988,0.0,0.0,11.05.2019. 17:14:19
989.9725755746779,18.38807982543949,52.786638503416405,3,421,-1,-1,-1,False,3.147128245476003e-06,0.0008557889234573346,2.8,16.9,11.05.2019. 17:14:39
989.922251203817,18.40812346788589,52.6540856650538,3,423,-1,-1,-1,False,-0.041491738788355624,21.06953492963308,3.3,15.2,11.05.2019. 17:14:59
989.8846046816107,18.45322168041603,52.565046132161456,0,400,-0.006101153790950775,690.8759,6325.354432334111,True,1.765910306845004,21.06953492963308,3.4,23.9,11.05.2019. 17:15:20
989.9132218824378,18.934270747570555,52.133548757918625,10,466,0.016583561897277832,1493.09708,9378.11045626135,True,1.4975704169944923,21.06953492963308,3.0,18.4,11.05.2019. 17:15:40
989.9059679544242,18.72381145065301,51.518094848699214,5,433,0.01624763011932373,1654.28898,8032.840982677455,False,1.4458442171518489,21.06953492963308,3.2,14.7,11.05.2019. 17:16:00
989.9750793932519,18.904205102293055,60.25202594018172,254,2068,0.011933833360671997,1790.58718,7192.2736160360055,True,1.3704012588512982,19.897953851240086,2.9,12.0,11.05.2019. 17:16:20
989.9407345902302,18.934270747570555,52.70466809285819,12,481,0.013211995363235474,1794.5273,7593.495299936665,True,1.4144579071597168,20.579054549012206,3.5,18.3,11.05.2019. 17:16:40
989.973874753579,18.869128529378212,51.93919023097413,11,475,0.012823149561882019,1810.2549,7540.344353391529,False,1.420648308418568,20.681457438854405,3.1,18.6,11.05.2019. 17:17:00
989.9636318978021,18.914226982888067,51.56701703068562,9,463,0.012877792119979858,1818.11966,7563.022876672423,False,1.4119559402045632,20.537666497449134,3.3,23.7,11.05.2019. 17:17:20
989.9441518316262,18.91923792362213,51.620567627231374,18,519,0.013060435652732849,1811.56654,7587.536983932923,False,1.4090479937057434,20.48956264883999,3.9,29.4,11.05.2019. 17:17:40
989.9132218824378,18.934270747570555,51.18324924607304,18,524,0.013175055384635925,1808.94532,7598.487363446078,False,1.4072415420928404,20.459679955007037,3.2,20.1,11.05.2019. 17:18:01
989.9843111329573,18.944292631658026,51.09279310868003,28,589,0.013264700770378113,1807.63476,7606.744633627208,False,1.4058599527930762,20.436825420873465,2.8,17.8,11.05.2019. 17:18:21
