temperature,humidity,pressure,TVOC,CO2,Color temperature,DUV,LUX,Motion,O2voltage,O2,PM10,PM2.5,Datetime
20.67308505757246,52.35278747222933,989.0599711844002,-1,-1,4171.057557312975,0.026211664080619812,1067.00964,False,1.3773784421715183,20.003944144545944,11.2,3.8,12.05.2019. 17:31:15
20.61295256561134,52.40434223545662,989.1017666229322,0,400,4172.600877443465,0.026227250695228577,1067.00968,False,1.3778568056648308,20.011131168931275,9.3,3.7,12.05.2019. 17:57:57
20.66306297266856,52.35780870025157,989.1267148969398,1,409,4174.542709749592,0.026215746998786926,1067.00972,False,1.3775798583792287,20.00697026007661,9.5,3.5,12.05.2019. 17:58:18
20.627985684672602,52.361985353207714,989.0430418610684,0,400,4175.659555403094,0.02618461847305298,1068.32046,False,1.377183320220299,20.00101259512562,10.3,3.5,12.05.2019. 17:58:38
20.61796360500739,52.37772165480263,989.0821921094589,0,406,4174.100399396424,0.026141703128814697,1067.0097,False,1.3774319433516915,20.00474795648378,14.3,3.7,12.05.2019. 17:58:58
20.63299672494177,52.41573602167711,989.1062291224391,2,414,4172.535568165102,0.026154816150665283,1067.00968,False,1.3771770259638079,20.000918029015285,13.8,3.6,12.05.2019. 17:59:18
20.627985684672602,52.39949227373417,989.0430418610684,2,418,4168.484925529361,0.026184111833572388,1065.69888,False,1.377985837922895,20.013069774193102,13.1,3.8,12.05.2019. 17:59:38
20.63299672494177,52.37822885613679,989.0234661261458,3,424,4174.716181651925,0.026179984211921692,1067.00972,False,1.377460267505901,20.00517350398028,11.4,3.6,12.05.2019. 17:59:58
20.622974644694477,52.41003903099081,989.1177916670275,2,418,4170.546902683567,0.026188865303993225,1065.69892,False,1.3774067663257277,20.00436969204245,12.6,3.3,12.05.2019. 18:00:19
20.658051930653166,52.39514945810596,989.1462914132671,3,422,4171.666194635526,0.026181593537330627,1070.94182,False,1.3781715184893784,20.015859474447936,13.2,3.7,12.05.2019. 18:00:39
20.64301880635321,52.37320862167242,989.0394895745848,3,422,4168.362442745534,0.02616088092327118,1069.63104,False,1.3773186467348544,20.00304576649778,16.6,3.9,12.05.2019. 18:00:59
20.59791944916942,52.46812617611506,989.0777292828163,3,422,4170.596466982722,0.026165619492530823,1068.32036,False,1.3775704169944925,20.006828410911112,13.7,3.5,12.05.2019. 18:01:19
20.552820115559733,52.541592846331014,989.0607870278208,3,424,4172.395105853222,0.02616618573665619,1070.94184,False,1.3774445318646735,20.004937088704448,8.2,3.6,12.05.2019. 18:01:39
20.537787009595196,52.621430410059936,989.119499699847,5,434,4173.615828286827,0.02617831528186798,1068.32042,False,1.3779701022816677,20.01283335891727,12.2,3.8,12.05.2019. 18:01:59
20.52776494040736,52.70678989673053,989.1862225088089,5,439,4175.9890839432555,0.026173025369644165,1070.9419,False,1.377693154996066,20.00867245006261,10.6,3.6,12.05.2019. 18:02:19
20.552820115559733,52.600518973910475,989.0056188903447,5,439,4174.832227428135,0.026180356740951538,1070.94188,False,1.3772116443745082,20.001438142622117,12.9,3.6,12.05.2019. 18:02:39
20.557831151463326,52.62747527771649,989.0687996321917,6,445,4169.78403524631,0.026166126132011414,1068.32034,False,1.3774791502753736,20.005457202311277,17.3,3.5,12.05.2019. 18:03:00
20.537787009595196,52.66963999901116,989.0643328085184,7,448,4173.227923150323,0.026178479194641113,1068.32042,False,1.3773784421715183,20.003944144545944,17.4,3.7,12.05.2019. 18:03:20
20.562842187657953,52.64907504985517,989.1043968274416,6,445,4168.480681433615,0.026164531707763672,1065.69888,False,1.377098347757671,19.99973595263612,12.9,3.7,12.05.2019. 18:03:40
20.512731838808396,52.759832656340606,989.1621811968874,8,457,4173.123795876696,0.026139885187149048,1068.3204,False,1.3775830055074743,20.007017543131777,11.6,3.7,12.05.2019. 18:04:00
20.497698739828774,52.78609139858612,989.1381401565922,8,457,4170.479252876001,0.026173055171966553,1069.63108,False,1.3774162077104641,20.004511541207947,9.6,3.3,12.05.2019. 18:04:20
20.51774287238368,52.706443883488575,989.1977775631904,8,457,4169.686436192005,0.02617165446281433,1068.32034,False,1.3775200629425648,20.006071882028447,12.8,3.5,12.05.2019. 18:04:40
20.54279804462567,52.69659566032367,989.072345551976,9,464,4171.445404369759,0.02616952359676361,1070.94182,False,1.3774539732494098,20.005078937869946,16.3,3.6,12.05.2019. 18:05:00
20.54279804462567,52.691239055113044,989.1550966105209,10,470,4172.940648428884,0.026169240474700928,1070.94184,False,1.3773658536585365,20.003755012325282,14.2,3.5,12.05.2019. 18:05:20
20.537787009595196,52.66963999901116,989.0643328085184,10,470,4172.807066562688,0.02617567777633667,1070.94184,False,1.3766955153422502,19.993683721574794,13.6,3.4,12.05.2019. 18:05:40
20.52275390625,52.73875479736608,989.1230430628098,11,477,4173.848104245285,0.026175841689109802,1072.25258,False,1.3776302124311566,20.00772678895928,10.6,3.5,12.05.2019. 18:06:00
20.52275390625,52.733398501440675,989.1230430628098,11,477,4175.011023335722,0.026169687509536743,1069.63116,False,1.3762297403619197,19.986641225039925,11.0,3.3,12.05.2019. 18:06:21
20.50772080552415,52.77037115844952,989.1265853417925,13,487,4169.720364560985,0.026177987456321716,1067.00962,False,1.3772147915027537,20.001485425677284,11.4,3.6,12.05.2019. 18:06:41
20.472643580683506,52.89768745797778,989.1808141046154,14,492,4172.59243142849,0.026173025369644165,1069.63112,False,1.3767395751376867,19.994345684347124,12.7,4.0,12.05.2019. 18:07:01
