humidity,temperature,pressure,TVOC,CO2,DUV,LUX,Color temperature,Motion,O2,O2voltage,PM10,PM2.5,Datetime
56.453815868463174,16.63427914120257,991.7668383490206,241,1984,0.011014282703399658,1240.01628,3750.8267642112014,False,19.808739716580742,1.3645381589299763,0.0,0.0,15.05.2019. 20:19:10
56.40720479747799,16.65933318567113,991.8345683436986,1,408,0.011043906211853027,1232.15172,3738.6602382075844,False,19.806201686984963,1.3643713611329662,5.2,3.0,15.05.2019. 20:19:30
56.333620445792846,16.674365615844728,991.7765185749216,0,403,0.01108124852180481,1236.08384,3736.850978999647,False,19.80782985691433,1.3644783634933122,4.1,3.1,15.05.2019. 20:19:50
56.24478218550358,16.704430484049954,991.7974828248073,1,408,0.01109844446182251,1192.82992,3729.4471990040624,False,19.81213971849208,1.3647616050354052,6.0,2.9,15.05.2019. 20:20:10
56.19748358558516,16.714452109113335,991.7861935963464,2,417,0.011033996939659119,1194.14098,3745.9217917895967,False,19.81204394379035,1.364755310778914,6.8,2.8,15.05.2019. 20:20:30
56.16565484377371,16.714452109113335,991.7587781734708,1,408,0.01108938455581665,1191.51918,3728.011190062096,False,19.81113408412394,1.3646955153422502,6.8,3.1,15.05.2019. 20:20:50
56.12918281210417,16.729484548891197,991.8652147573579,3,424,0.011083394289016724,1191.51926,3732.518207802177,False,19.809889013001477,1.3646136900078678,5.6,2.9,15.05.2019. 20:21:10
56.087842643252344,16.754538621008397,991.7410290084753,4,428,0.01104484498500824,1195.45158,3740.3650939890103,False,19.810607323264435,1.36466089693155,7.2,2.9,15.05.2019. 20:21:30
56.04031304282763,16.75954943630495,991.7765086936729,5,435,0.011039137840270996,1196.7624,3745.060577582758,False,19.81218760584294,1.3647647521636506,6.4,2.9,15.05.2019. 20:21:50
55.993219613079845,16.774581883940847,991.7732782599169,4,428,0.011079743504524231,1237.39458,3737.970567304311,False,19.8162101433155,1.3650291109362704,4.3,2.8,15.05.2019. 20:22:10
56.020406314568966,16.789614334196084,991.7700467596136,7,448,0.011017724871635437,1237.39484,3751.094661256142,False,19.818125637350057,1.3651549960660896,5.4,3.0,15.05.2019. 20:22:31
56.05842631766358,16.809657605277607,991.774876317924,6,441,0.011053264141082764,1234.77318,3739.813258493579,False,19.814055212526632,1.3648874901652241,6.5,3.0,15.05.2019. 20:22:51
55.93238553469834,16.83972252063104,991.8506707805519,8,455,0.01100081205368042,1236.08412,3751.045933937806,False,19.815060846894774,1.3649535798583792,7.4,3.1,15.05.2019. 20:23:11
55.90650534303738,16.854754982236773,991.7651718157613,8,455,0.011012494564056396,1233.4627,3752.4818034324094,False,19.81376788842145,1.3648686073957512,6.3,3.1,15.05.2019. 20:23:31
55.85387008351045,16.864776624762452,991.7812953595967,7,448,0.011071279644966125,1232.15174,3739.954474140677,False,19.81735943973624,1.3651046420141622,5.7,2.9,15.05.2019. 20:23:51
55.81802029220491,16.894841559324412,991.7748198220929,9,463,0.011041894555091858,1236.08402,3745.731317252337,False,19.815012959543907,1.3649504327301336,4.4,2.8,15.05.2019. 20:24:11
55.78173226119857,16.914884854853153,991.7796418710897,8,459,0.01106242835521698,1232.15176,3741.1547915943793,False,19.815156621596497,1.36495987411487,6.5,2.8,15.05.2019. 20:24:31
55.77090045385696,16.90987403053441,991.771580452737,10,466,0.01107962429523468,1187.58708,3730.9592336016967,False,19.817311552385373,1.3651014948859166,6.0,2.9,15.05.2019. 20:24:51
55.7135912993481,16.934928155038506,991.7570373935166,9,463,0.011060446500778198,1186.27648,3737.2912026226004,False,19.818460848806108,1.365177025963808,6.5,3.2,15.05.2019. 20:25:11
55.64501333062738,16.94494980687741,991.7457340029557,10,466,0.011091306805610657,1187.58712,3732.9080078395964,False,19.821717188664845,1.3653910306845003,5.1,3.1,15.05.2019. 20:25:31
55.67177022114382,16.949960633233424,991.6989432424074,11,476,0.011092051863670349,1187.58706,3729.645261788752,False,19.82047211754239,1.3653092053501181,4.9,3.0,15.05.2019. 20:25:51
55.6350398676536,16.95998228681856,991.7424906322537,11,476,0.011043906211853027,1191.51942,3740.2685364044255,False,19.824207330909765,1.365554681353265,4.8,2.9,15.05.2019. 20:26:11
55.551808507916675,17.000068912800636,991.7795499398371,10,466,0.011063635349273682,1190.20852,3731.325354037647,False,19.823201696541624,1.36548859166011,4.4,3.0,15.05.2019. 20:26:32
55.59492373641335,17.015101402346044,991.8311613933511,13,491,0.011086910963058472,1191.51922,3729.6828435101033,False,19.82052000489325,1.3653123524783635,5.0,3.2,15.05.2019. 20:26:52
55.546712615800885,17.005079742358067,991.7327541155153,12,485,0.011037677526473999,1194.14096,3744.8275253172733,False,19.821717188664845,1.3653910306845003,4.2,3.2,15.05.2019. 20:27:12
55.53694679839329,17.025123063498178,991.7924252174047,12,485,0.01108001172542572,1191.5192,3729.1544199483933,False,19.821812963366572,1.3653973249409912,4.0,2.8,15.05.2019. 20:27:32
55.4528415785655,17.0451663892949,991.7423780980536,12,485,0.011038288474082947,1233.46246,3740.0106852053477,False,19.824063668857175,1.3655452399685286,4.2,2.9,15.05.2019. 20:27:52
55.36341604582655,17.065209719748236,991.8569122973817,12,480,0.011050611734390259,1233.46238,3736.0226168867894,False,19.824398880313222,1.365567269866247,5.2,3.2,15.05.2019. 20:28:12
55.396546490322656,17.09527472415939,991.79554927576,13,491,0.010995402932167053,1234.77342,3752.293759221703,False,19.82286648508558,1.3654665617623918,6.0,3.3,15.05.2019. 20:28:32
