pressure,temperature,humidity,CO2,TVOC,DUV,LUX,Color temperature,Motion,O2,O2voltage,PM10,PM2.5,Datetime
990.0446578198721,18.10746932013426,54.20926838380445,409,1,0.022584497928619385,145.55002,3002.590381478415,False,20.53672940948922,1.4118992918961448,5.1,2.6,11.05.2019. 16:55:41
990.0544834144457,19.15976342111826,52.434923824708676,421,3,0.023023396730422974,144.23926,3000.698271949914,True,20.592173780451066,1.4152509834775768,4.9,2.4,11.05.2019. 16:56:01
990.0389679978554,18.378058005962522,53.29794645431534,486,13,0.02246040105819702,150.79308,3011.786184957068,True,20.614247407951364,1.4165853658536585,6.7,2.6,11.05.2019. 16:56:21
990.0236995387822,18.282850778993453,53.789932693429165,543,21,0.022944390773773193,150.7929,3002.7476812462132,True,20.61981787526866,1.4169221085759245,8.2,2.6,11.05.2019. 16:56:41
990.0713964874326,18.19265455562272,53.802482994593824,524,18,0.022421136498451233,152.10344,2994.2345412504546,True,20.628876392214536,1.4174697088906374,19.0,3.7,11.05.2019. 16:57:01
990.0392444919671,18.17261096323491,53.940197413704254,486,13,0.022529348731040955,153.41416,2994.01359826481,True,20.63163559565207,1.4176365066876473,27.6,4.0,11.05.2019. 16:57:21
990.089527052261,18.152567375503715,53.93410213781373,500,15,0.02250427007675171,154.72488,2994.0220221721775,True,20.63559218926062,1.4178756884343038,22.1,3.6,11.05.2019. 16:57:41
990.0747615875885,18.177621860895307,53.8871292494483,478,11,0.022259622812271118,154.72482,2990.9538843724285,True,20.637830788275977,1.418011014948859,21.5,3.7,11.05.2019. 16:58:01
990.0472824440345,18.177621860895307,53.876477042746544,486,13,0.022328555583953857,156.03546,2986.8144754771074,True,20.645015129302024,1.4184453186467347,20.8,3.5,11.05.2019. 16:58:21
990.0942023422175,18.17261096323491,53.966827063501846,482,12,0.022247791290283203,156.03548,2988.120574188718,True,20.639184359773644,1.4180928402832416,19.2,3.3,11.05.2019. 16:58:42
990.1136426911922,18.167600065865553,53.94533092377194,519,18,0.02235637605190277,157.34614,2985.1439689153276,False,20.603210594201215,1.4159181746656175,23.7,3.4,11.05.2019. 16:59:02
990.0700872975206,18.157578271999956,53.97690044027783,451,7,0.022759273648262024,158.65696,2990.3058594473205,True,20.636529277220536,1.4179323367427221,27.1,3.3,11.05.2019. 16:59:22
990.078125614546,18.162589168787235,53.96111590547365,500,15,0.02281630039215088,158.65696,2989.781245611665,True,20.639809085080252,1.4181306058221872,19.8,3.3,11.05.2019. 16:59:42
990.188039741351,18.162589168787235,53.99307053506155,519,18,0.02251794934272766,157.3461,2983.151701854482,True,20.638871997120333,1.4180739575137686,14.0,3.2,11.05.2019. 17:00:02
990.0861639627788,18.167600065865553,53.918701408199816,497,14,0.02292098104953766,158.65694,2989.056703584142,True,20.638767876235896,1.4180676632572775,13.9,3.1,11.05.2019. 17:00:22
990.0975655673616,18.157578271999956,53.9183171098421,465,9,0.022851616144180298,157.34606,2980.7988040144755,True,20.6396529037536,1.4181211644374507,13.8,3.1,11.05.2019. 17:00:42
990.1022407528596,18.177621860895307,53.89245534023794,478,11,0.022929713129997253,157.346,2977.8597341902437,True,20.637206062969366,1.4179732494099133,8.8,2.7,11.05.2019. 17:01:02
990.058685256082,18.167600065865553,53.73228893755076,473,11,0.02280999720096588,157.346,2978.2491915261535,True,20.638924057562555,1.4180771046420142,14.7,3.0,11.05.2019. 17:01:22
990.058685256082,18.167600065865553,53.62043653138021,486,13,0.022899091243743896,157.346,2977.9363004160236,True,20.634811282627354,1.4178284815106215,42.1,5.3,11.05.2019. 17:01:42
990.095510811583,18.20768725296948,53.60596564451454,533,20,0.022990912199020386,156.03526,2977.605911266059,True,20.662351256560516,1.4194933123524784,42.0,5.7,11.05.2019. 17:02:02
990.068030314009,18.20768725296948,53.462136266778934,533,20,0.02327495813369751,157.3461,2982.8698407962643,False,20.601857022703552,1.4158363493312351,23.6,3.8,11.05.2019. 17:02:22
