humidity,temperature,pressure,CO2,TVOC,Color temperature,LUX,DUV,Motion,O2,O2voltage,PM2.5,PM10,Datetime
50.069601966994085,19.01945679942146,989.8846612430702,470,10,7429.972423033067,1884.96374,0.012692257761955261,False,20.32400314496879,1.3986813532651454,0.0,0.0,11.05.2019. 17:23:44
50.18727832265249,19.024467746267327,989.8101418358556,485,12,7426.1170000512775,1886.27438,0.012667208909988403,False,20.34022123289094,1.3997608182533439,2.7,17.1,11.05.2019. 17:24:04
58.71264186451038,19.11967579163611,989.8526318678943,2291,288,7725.98022302796,1753.89762,0.016554147005081177,True,19.915767945761434,1.3715719905586152,2.9,15.2,11.05.2019. 17:24:24
54.27457862204421,19.239938735961914,989.9352450937045,1075,102,7978.827189262816,1709.33814,0.01752711832523346,True,20.398248633190157,1.4035279307631785,2.6,10.3,11.05.2019. 17:24:44
54.249433435165436,19.28002642132342,989.8618407438645,1474,163,10876.034078570196,807.62018,0.04926900565624237,True,18.445409071485745,1.2748638867033832,2.8,16.0,11.05.2019. 17:25:04
51.7125227976442,19.28002642132342,989.8343127081255,820,63,10633.89143475247,1157.57762,0.03600834310054779,True,20.66224713567608,1.4194870180959873,2.7,14.0,11.05.2019. 17:25:24
50.23207890100861,19.275015459634595,989.8538122639532,730,50,4488.118919800991,1873.10878,-0.01532747596502304,False,20.678021449668037,1.4204405979543666,2.6,11.0,11.05.2019. 17:25:44
50.08241184603197,19.275015459634595,989.8262844576403,653,38,4728.776112857646,1818.06334,-0.018301837146282196,True,20.782246454987863,1.4267411487018096,2.7,12.0,11.05.2019. 17:26:04
49.59018031926941,19.25998257631436,989.7746727943132,692,44,4486.3821236378535,1886.21594,-0.014928720891475677,False,20.254166072487692,1.3940330448465774,2.2,9.5,11.05.2019. 17:26:24
49.7177703971725,19.2349277766014,989.844637538276,614,32,4502.305705407681,1888.8377,-0.015118718147277832,False,20.26173136131435,1.3945365853658536,2.3,7.0,11.05.2019. 17:26:45
49.59018031926941,19.25998257631436,989.8297270085969,614,32,4499.569163556156,1887.52692,-0.015087306499481201,False,20.280455451160332,1.3957828481510621,2.4,11.6,11.05.2019. 17:27:05
49.89170043708554,19.33514701910899,989.8125034710049,607,31,4500.579156969249,1891.4591,-0.015168331563472748,False,20.330055376030117,1.3990841856805665,2.4,8.9,11.05.2019. 17:27:25
49.83794944182609,19.32512508961954,989.8515082090858,619,33,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.352893091675593,1.4006042486231314,2.5,14.0,11.05.2019. 17:27:45
49.67022725439338,19.254971615789692,989.7941717629947,561,24,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.335445644319112,1.3994429583005508,3.1,20.8,11.05.2019. 17:28:05
49.921036167693806,19.239938735961914,989.8251399872149,596,29,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.335823908760442,1.3994681353265144,3.0,16.8,11.05.2019. 17:28:25
49.936637840450175,19.22490585875348,989.8561058222308,578,27,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.331757566016112,1.3991974822974036,2.7,9.7,11.05.2019. 17:28:45
49.94544507435452,19.15976342111826,989.7517334307311,578,27,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.333979869608946,1.399345397324941,2.6,11.7,11.05.2019. 17:29:05
49.99801341860781,19.12969769726042,989.7586058142363,575,26,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.330433640471448,1.39910936270653,2.6,14.1,11.05.2019. 17:29:25
49.986889590021455,19.114664839260513,989.7895610071547,565,25,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.32929884714745,1.3990338316286388,2.7,11.3,11.05.2019. 17:29:45
50.16248567932404,19.089610081748106,989.7494159616981,565,25,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.32617816550645,1.3988261211644373,2.7,9.8,11.05.2019. 17:30:05
50.26740991386424,19.024467746267327,989.7551086195392,549,22,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.326036316340954,1.398816679779701,2.7,11.1,11.05.2019. 17:30:25
50.181788278764806,19.01945679942146,989.747079185919,588,28,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.333979869608946,1.399345397324941,2.6,10.3,11.05.2019. 17:30:46
50.250342950040036,18.989391124458052,989.7814482717172,565,25,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.316532422252465,1.3981841070023604,2.4,9.2,11.05.2019. 17:31:06
50.38267929938671,18.94930357413832,989.7447231101664,549,22,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.318281895293623,1.3983005507474429,2.5,11.8,11.05.2019. 17:31:26
50.515896793713786,18.93928168946877,989.811201783818,554,23,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.32031506666579,1.3984358772619983,2.8,14.3,11.05.2019. 17:31:46
50.585018878385256,18.929259805963376,989.7951407850013,561,24,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.31553947809396,1.3981180173092052,2.5,13.0,11.05.2019. 17:32:06
50.55770738871581,18.909216042445042,989.7630191578702,545,22,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.31459381699063,1.3980550747442957,2.8,15.1,11.05.2019. 17:32:26
50.82346287495633,18.869128529378212,989.7262870248555,591,29,4084.2212272520396,1848.19704,-0.009237758815288544,False,20.309770945363635,1.3977340676632573,2.7,17.3,11.05.2019. 17:32:46
50.69120951292935,18.909216042445042,989.790530631679,596,29,3973.689832993462,23.67258,0.052683040499687195,False,20.323624880527454,1.3986561762391816,2.8,15.1,11.05.2019. 17:33:06
