pressure,humidity,temperature,CO2,TVOC,Color temperature,LUX,DUV,Motion,O2,O2voltage,PM10,PM2.5,Datetime
992.0344318749328,54.22610159599901,17.721631365601205,408,1,3740.3586102199083,1198.07302,0.010987982153892517,False,19.843266496553575,1.3668072383949645,0.0,0.0,15.05.2019. 20:45:54
992.0392020624962,54.210927287588284,17.741674853215226,408,1,3744.6446006058677,1237.39472,0.011004611849784851,True,19.842404524238027,1.366750590086546,4.8,3.2,15.05.2019. 20:46:14
992.0988954004757,54.17978953635157,17.76171834548586,405,0,3758.2846374156416,1240.01642,0.010970115661621094,True,19.844607342377763,1.3668953579858378,6.5,3.2,15.05.2019. 20:46:34
992.0439709407428,54.17978953635157,17.76171834548586,413,1,3752.018241735374,1240.0163,0.010950133204460144,False,19.842787623044938,1.3667757671125098,5.7,3.3,15.05.2019. 20:46:54
992.0956068127682,54.24422642415175,17.77675096774474,413,1,3754.9580819601347,1240.01636,0.010962441563606262,False,19.842548186290617,1.3667600314712824,7.5,3.3,15.05.2019. 20:47:15
992.0406810208514,54.15377361410141,17.77675096774474,413,1,3743.3321038257595,1236.08396,0.011011064052581787,False,19.84345804595703,1.3668198269079463,7.1,3.3,15.05.2019. 20:47:35
992.061562185172,54.08045030884638,17.806816220120528,413,1,3758.6785911333873,1238.70572,0.01096673309803009,False,19.844415792974306,1.3668827694728558,7.9,3.4,15.05.2019. 20:47:55
992.0970841013554,54.04339536616442,17.811827096535126,408,1,3742.8310036199973,1236.08396,0.011021405458450317,False,19.845086215886404,1.3669268292682928,6.3,3.2,15.05.2019. 20:48:15
992.019453712989,54.06545940930609,17.831870605103905,413,1,3756.965315449621,1240.0164,0.010972872376441956,False,19.844224243570853,1.366870180959874,5.4,3.2,15.05.2019. 20:48:35
992.0630333574798,54.033917905670855,17.841892361134523,408,1,3746.4137138502574,1238.70546,0.010981768369674683,False,19.84518199058813,1.3669331235247837,5.2,3.3,15.05.2019. 20:48:55
992.0275106301362,53.93260911014813,17.836881482973695,408,1,3749.526676596965,1195.45176,0.010950982570648193,True,19.8468101605175,1.3670401258851297,8.4,3.5,15.05.2019. 20:49:15
992.0710905666944,54.07136493190372,17.84690323958639,415,2,3739.438889250298,1192.83012,0.010984674096107483,False,19.84570875144763,1.3669677419354838,7.6,3.4,15.05.2019. 20:49:35
992.1066140663368,53.943832416545916,17.851914118329297,408,1,3750.4009606854115,1198.07322,0.010989680886268616,False,19.844559455026896,1.3668922108575923,5.9,3.4,15.05.2019. 20:49:55
992.0403290126455,53.89099645298548,17.86193587668822,408,1,3742.577642806077,1196.76234,0.01097598671913147,False,19.84925241541156,1.3672006294256491,6.2,3.2,15.05.2019. 20:50:16
992.0289756854863,53.78493205707703,17.8719576362113,408,1,3743.935205242238,1240.01614,0.010976895689964294,False,19.84862987985033,1.367159716758458,7.9,3.3,15.05.2019. 20:50:36
992.0612027127495,53.88682887497268,17.892001158749917,405,0,3760.390635864341,1241.32718,0.010947093367576599,False,19.847959456938234,1.3671156569630212,7.7,3.3,15.05.2019. 20:50:56
992.0967278054246,53.80717986369752,17.897012040112166,413,1,3744.310753366304,1238.70542,0.01101347804069519,False,19.846905935219226,1.3670464201416206,6.9,3.4,15.05.2019. 20:51:16
992.0773164146522,53.82333998190288,17.902022921765457,408,1,3743.4929214811473,1236.08396,0.011014565825462341,False,19.849204528060692,1.3671974822974036,5.3,3.2,15.05.2019. 20:51:36
992.1014872028006,53.786653480981364,17.91705556847155,408,1,3761.461391655387,1241.3272,0.01095670461654663,True,19.851215796796975,1.3673296616837136,6.7,3.5,15.05.2019. 20:51:56
992.1531281356271,53.71802376592753,17.93208821779699,405,0,3746.9901329973827,1238.70548,0.011019736528396606,False,19.847767907534774,1.3671030684500391,6.2,3.3,15.05.2019. 20:52:16
