humidity,pressure,temperature,TVOC,CO2,Color temperature,LUX,DUV,Motion,O2,O2voltage,PM2.5,PM10,Datetime
57.600338062073654,989.8933061764214,18.69875680664554,11,477,4002.2090302344413,31.53748,0.004665739834308624,False,19.8468101605175,1.3670401258851297,2.7,21.9,12.05.2019. 12:22:04
57.589684938033834,989.8658039877823,18.69875680664554,13,488,4004.306416759976,31.53752,0.004524730145931244,False,19.841303115168156,1.3666782061368998,2.9,19.1,12.05.2019. 12:22:19
57.605199385166955,989.8222369097482,18.688734951079823,13,486,3991.244216666178,31.53726,0.004597648978233337,False,19.836753816836094,1.3663792289535799,3.0,19.9,12.05.2019. 12:22:24
57.63229723273705,989.9483106189622,18.69875680664554,13,488,4001.5650452883365,30.22674,0.004601143300533295,False,19.84393691946567,1.366851298190401,3.2,18.5,12.05.2019. 12:22:39
57.62094581379008,989.8692074800546,18.68372402373352,13,486,4001.5650452883365,30.22674,0.004601143300533295,False,19.839770719940514,1.3665774980330447,3.1,16.5,12.05.2019. 12:22:44
57.604966757766434,989.7867030435597,18.68372402373352,13,488,4002.980889428176,30.22676,0.004456907510757446,False,19.841925650729387,1.3667191188040912,3.0,16.4,12.05.2019. 12:22:59
57.61585221799834,989.8497386179303,18.688734951079823,13,486,3991.244216666178,31.53726,0.004597648978233337,False,19.84206931278198,1.3667285601888277,2.9,15.4,12.05.2019. 12:23:04
57.66378955025527,989.9322438729964,18.688734951079823,13,488,4016.0821173941877,31.53774,0.004379890859127045,False,19.839483395835334,1.366558615263572,3.0,14.4,12.05.2019. 12:23:19
57.65313686850908,989.8497386179303,18.688734951079823,14,497,4001.5650452883365,30.22674,0.004601143300533295,False,19.842739735694074,1.3667726199842642,2.7,15.2,12.05.2019. 12:23:24
57.648043614641814,989.8852732466552,18.693745878717163,14,497,4000.8584760812746,30.22672,0.004595033824443817,False,19.841446777220746,1.3666876475216363,2.7,15.2,12.05.2019. 12:23:39
57.6424841531884,989.8497386179303,18.688734951079823,15,500,4026.567272709612,31.53796,0.004386179149150848,False,19.844128468869123,1.366863886703383,2.8,19.2,12.05.2019. 12:23:44
57.64225110431357,989.8417059794701,18.68372402373352,14,497,3992.6307665103554,31.53728,0.004450023174285889,False,19.84048903020347,1.3666247049567268,2.9,20.8,12.05.2019. 12:23:59
57.61585221799834,989.8772403478657,18.688734951079823,14,497,4012.002416098997,30.22694,0.004608511924743652,False,19.84556508939504,1.3669583005507475,2.9,20.8,12.05.2019. 12:24:04
57.62650501725523,989.8772403478657,18.688734951079823,15,505,3993.3168150276583,31.5373,0.004299961030483246,False,19.839243959081017,1.3665428796223447,3.0,18.3,12.05.2019. 12:24:19
57.61608495633258,989.9127752276956,18.693745878717163,19,530,4013.968949356393,31.5377,0.004370488226413727,False,19.84106367841384,1.3666624704956725,3.1,18.7,12.05.2019. 12:24:24
57.63715778293763,989.8222369097482,18.688734951079823,17,514,4013.264421601328,31.5377,0.004376225173473358,False,19.842356636887164,1.3667474429583006,3.2,19.0,12.05.2019. 12:24:39
57.54707210611441,989.8933061764214,18.69875680664554,15,505,4013.968949356393,31.5377,0.004370488226413727,False,19.84135100251902,1.3666813532651454,3.2,19.0,12.05.2019. 12:24:44
57.50515307316983,989.9174051515616,18.71378959217691,15,500,4047.243656066882,31.53838,0.004464596509933472,False,19.84341015860617,1.366816679779701,3.4,20.1,12.05.2019. 12:24:59
57.489172379305785,989.8899022748609,18.71378959217691,15,500,4035.7461404787045,30.22742,0.0043838247656822205,False,19.844272130921716,1.3668733280881196,3.2,19.8,12.05.2019. 12:25:04
57.4951931751571,989.914000840654,18.72882238032762,19,526,3991.909351696818,31.53726,0.00429680198431015,False,19.841877763378527,1.366715971675846,3.2,18.0,12.05.2019. 12:25:19
57.468788632671426,989.8670262348621,18.733833310293267,17,514,4024.441360322751,31.53792,0.004383303225040436,False,19.84518199058813,1.3669331235247837,2.9,16.0,12.05.2019. 12:25:24
57.46323052725605,989.8314902768844,18.72882238032762,17,514,4027.381013646839,31.53798,0.004084311425685883,False,19.84053691755434,1.3666278520849724,2.7,14.5,12.05.2019. 12:25:39
57.46346144348362,989.8945299854756,18.733833310293267,15,505,4015.4054738663694,31.53774,0.004231207072734833,False,19.83972283258965,1.3665743509047994,2.6,13.7,12.05.2019. 12:25:44
57.5002889065303,989.8509613488676,18.72381145065301,17,514,4023.7324596004937,31.5379,0.004379965364933014,False,19.8423087495363,1.366744295830055,2.9,13.9,12.05.2019. 12:25:59
57.50515307316983,989.8348965867247,18.71378959217691,17,514,4034.3192305836956,30.2274,0.004386648535728455,False,19.840728466957792,1.3666404405979542,3.1,13.9,12.05.2019. 12:26:04
57.5320191225439,989.9254382052156,18.71880052126944,18,519,4014.726222318011,31.53772,0.004073701798915863,False,19.837041140941274,1.3663981117230526,3.2,15.6,12.05.2019. 12:26:19
57.52622887069784,989.9093721288767,18.708778663375416,18,519,4022.3159746414394,31.53788,0.004378549754619598,False,19.83981860729138,1.3665806451612903,3.3,17.2,12.05.2019. 12:26:24
57.547535969824025,989.8268642521025,18.708778663375416,18,519,3991.184596466921,30.22652,0.0041466280817985535,False,19.839387621133604,1.366552321007081,2.9,18.6,12.05.2019. 12:26:39
57.55286272361961,989.9093721288767,18.708778663375416,17,514,3989.0930927641093,31.5372,0.004291452467441559,False,19.839148184379287,1.3665365853658535,2.8,18.3,12.05.2019. 12:26:44
