temperature,humidity,pressure,TVOC,CO2,LUX,Color temperature,DUV,Motion,O2,O2voltage,PM10,PM2.5,Datetime
19.826222990179666,52.69317308941853,988.8911229261213,-1,-1,1.41976,5448.900398162541,-0.019148148596286774,False,20.04517496865124,1.3801227380015735,8.9,3.4,12.05.2019. 16:17:15
19.80617901827791,52.665736669694965,988.8590573425815,5,438,2.7063,4235.5435455512725,-0.015768319368362427,False,20.041014059796574,1.3798457907159716,7.6,3.3,12.05.2019. 16:23:19
19.81620100364671,52.73560638686222,988.8750900734094,5,433,1090.58768,3426.178724991902,0.006800703704357147,False,20.04210157006541,1.3799181746656175,7.2,3.5,12.05.2019. 16:23:39
19.831233983882704,52.81100130170753,988.8991393981792,21,543,1152.19152,3426.2531574398204,0.00685466080904007,False,20.025694349922592,1.3788261211644375,7.2,3.9,12.05.2019. 16:23:59
19.84626696673804,52.73130780581395,988.8680840135312,11,477,1204.62048,3434.2750236238917,0.006864123046398163,False,20.029571560446257,1.3790841856805665,7.4,3.9,12.05.2019. 16:24:19
19.851277961605227,52.64591077087995,988.8209947932295,5,433,1249.18514,3443.72669563629,0.006816446781158447,False,20.031084618211587,1.3791848937844216,7.7,3.4,12.05.2019. 16:24:39
19.861299952212722,52.91366940275273,988.9196856790468,33,617,1275.39958,3445.145208384268,0.006835520267486572,False,20.020114949412932,1.3784547600314712,5.9,3.4,12.05.2019. 16:24:59
19.856288956763457,52.80653190510462,988.9943282043018,15,503,1292.43902,3449.2320145348885,0.006790436804294586,False,20.044276590603072,1.3800629425649096,10.0,3.9,12.05.2019. 16:25:20
19.866310947953025,52.871061439733026,988.9001487359981,18,519,1308.16776,3453.819562877193,0.006758637726306915,False,20.03269224208725,1.3792918961447678,8.6,3.5,12.05.2019. 16:25:40
19.866310947953025,52.83362428321758,988.9001487359981,22,549,1322.5858,3459.747545766948,0.006746396422386169,False,20.02479597187443,1.3787663257277734,7.1,3.5,12.05.2019. 16:26:00
19.861299952212722,52.763921876810215,988.9196856790468,9,460,1330.45016,3462.0389743201927,0.006724715232849121,False,20.01080018754511,1.3778347757671126,9.7,3.7,12.05.2019. 16:26:20
19.866310947953025,52.699916777385816,988.9277021348321,8,457,1338.31454,3465.4785093947557,0.0067203715443611145,False,20.0198785341371,1.3784390243902438,6.8,3.4,12.05.2019. 16:26:40
19.876332940306746,52.71096265880617,988.9161812799409,12,482,1342.24672,3465.876183737192,0.006710566580295563,False,20.027301973798256,1.3789331235247835,5.7,3.4,12.05.2019. 16:27:00
19.866310947953025,52.705265178881675,988.9277021348321,20,536,1344.86814,3464.9243439102984,0.0067274123430252075,False,20.028720465453258,1.379027537372148,4.7,3.4,12.05.2019. 16:27:20
19.856288956763457,52.726309213273275,988.8014576252963,20,536,1343.55744,3466.190826790092,0.006720460951328278,False,20.00564633453195,1.3774917387883556,6.2,3.4,12.05.2019. 16:27:40
19.876332940306746,52.95698517293418,988.9161812799409,26,575,1342.24676,3467.8403842724774,0.006733410060405731,False,20.014630115013606,1.378089693154996,8.5,3.4,12.05.2019. 16:28:00
19.871321943984366,52.83380022034184,988.8806113862589,19,531,1340.93608,3470.2319030412536,0.006706066429615021,False,20.02829491795676,1.3789992132179387,8.9,3.6,12.05.2019. 16:28:21
19.876332940306746,52.96233329014382,988.9161812799409,52,744,1340.9361,3471.4262982345763,0.006741710007190704,False,20.02701827546726,1.3789142407553108,6.1,3.3,12.05.2019. 16:28:41
19.89637692850665,53.04326707085999,988.9482467331692,46,706,1343.55762,3475.577161799559,0.006772004067897797,False,20.009854526441774,1.3777718332022029,7.6,3.4,12.05.2019. 16:29:01
19.89637692850665,52.98443605310868,988.8931372471251,36,638,1342.24698,3479.0211726056214,0.006771497428417206,False,20.02446499048826,1.3787442958300549,7.6,3.7,12.05.2019. 16:29:21
19.89637692850665,52.91490717008253,988.8655825368606,37,645,1339.62558,3480.773388544825,0.006776131689548492,False,20.0184600424821,1.3783446105428796,7.0,3.6,12.05.2019. 16:29:41
19.89136593102012,52.85054932592862,988.8851212971392,36,638,1327.82902,3477.024893262561,0.0068142712116241455,False,20.015339360841104,1.378136900078678,6.8,3.4,12.05.2019. 16:30:01
19.906398924352835,52.81898544273995,988.8540589217445,28,589,1329.13984,3482.1014143405987,0.006779037415981293,False,20.00786863812478,1.377639653815893,6.3,3.3,12.05.2019. 16:30:21
19.901387926284222,52.81880975326618,988.8460433698725,30,602,1321.2755,3481.4756510963716,0.0067985206842422485,False,20.011840414758773,1.377904012588513,6.4,3.5,12.05.2019. 16:30:41
19.906398924352835,52.82433414168429,988.9091692384058,35,631,1319.9649,3486.7048482186306,0.006793409585952759,False,20.01387358613094,1.3780393391030685,5.5,3.4,12.05.2019. 16:31:01
19.906398924352835,52.94200338311959,988.9367244294948,35,631,1313.41128,3486.1573246422395,0.006804279983043671,False,20.025126953260592,1.3787883556254916,5.7,3.4,12.05.2019. 16:31:21
19.911409922712483,52.90474025918607,988.9447407002805,37,645,1312.1006,3487.8123470017345,0.006813481450080872,False,20.02479597187443,1.3787663257277734,4.8,3.4,12.05.2019. 16:31:42
19.91642092136317,52.94235751128256,988.8425345322235,37,645,1305.54698,3486.928333847326,0.006818503141403198,False,20.012502377531103,1.3779480723839495,5.9,3.5,12.05.2019. 16:32:02
19.921431920304894,52.85695443765636,988.9607733331469,44,690,1302.92556,3487.787555821652,0.006842412054538727,False,20.019831251081932,1.3784358772619985,7.0,3.5,12.05.2019. 16:32:22
