humidity,temperature,pressure,CO2,TVOC,Color temperature,DUV,LUX,Motion,O2,O2voltage,PM10,PM2.5,Datetime
50.980813107340055,18.94930357413832,989.882289545607,600,30,7628.740580831369,0.013388291001319885,1803.70304,True,20.432139981073874,1.4055767112509834,0.0,0.0,11.05.2019. 17:18:42
50.88484755410828,18.954314516909655,989.8903206118259,410,1,7649.013004833806,0.013446226716041565,1805.01416,False,20.410326655784658,1.404258064516129,15.9,2.9,11.05.2019. 17:19:02
50.741430130507304,18.97936923513189,989.8754470137386,400,0,7645.8894489826525,0.013438627123832703,1814.18914,False,20.412721436126674,1.404402832415421,13.1,2.4,11.05.2019. 17:19:22
50.347389868340564,19.01945679942146,989.8571447880869,402,0,7626.7470747384505,0.013268470764160156,1816.8102,False,20.410326655784658,1.404258064516129,41.0,4.3,11.05.2019. 17:19:42
50.775329758395905,19.039500588551164,989.8342316980687,539,21,7613.606183735487,0.013302728533744812,1812.87778,False,20.421675832188118,1.4049441384736427,36.5,4.1,11.05.2019. 17:20:02
51.94473261399315,19.03448964083218,989.9087530773378,555,23,7619.537921570867,0.013350754976272583,1805.01358,False,20.355257244433922,1.4007616050354053,31.1,3.9,11.05.2019. 17:20:22
50.763874629728825,19.01444585286663,989.8766306933212,478,11,7629.110403101102,0.013367518782615662,1801.08162,False,20.369300311818407,1.4016963021243114,19.5,3.1,11.05.2019. 17:20:42
50.49710999253434,19.024467746267327,989.8651751392796,487,13,7636.892610854478,0.013393878936767578,1805.01392,False,20.359654568564416,1.4010542879622343,11.1,2.5,11.05.2019. 17:21:02
50.36860723026308,19.01444585286663,989.8766306933212,493,14,7631.744861304314,0.013359054923057556,1803.7031,False,20.351947430572256,1.4005413060582217,11.8,2.6,11.05.2019. 17:21:22
50.368307208383136,19.004423960630085,989.8880854749258,498,14,7630.1278623822855,0.013355836272239685,1797.14948,False,20.3439565942491,1.4000094413847364,18.1,3.2,11.05.2019. 17:21:42
50.2669633707986,19.009434906602838,989.8961161923854,482,12,7641.035625149034,0.013383075594902039,1799.77112,True,20.35610833942692,1.4008182533438238,14.6,2.8,11.05.2019. 17:22:03
49.97790812824089,18.989391124458052,989.974054127003,455,8,7703.72802268052,0.013809114694595337,1786.66518,False,20.35989098384025,1.4010700236034617,12.8,2.6,11.05.2019. 17:22:23
50.112928326953494,19.039500588551164,989.861749027077,524,18,7476.674636224008,0.012760624289512634,1875.78962,False,20.343531046752606,1.3999811172305272,12.0,2.5,11.05.2019. 17:22:43
50.187722058725605,19.039500588551164,989.9167837504269,502,15,7419.087948483499,0.012607544660568237,1879.72064,True,20.375541675100397,1.4021117230527143,12.4,2.5,11.05.2019. 17:23:03
50.32127819562459,19.039500588551164,989.8892663778629,442,6,7418.0559471055385,0.012638404965400696,1890.20638,True,20.372373710404236,1.4019008654602674,11.3,2.4,11.05.2019. 17:23:23
